Bear ID,Time,Period,Treatment,PropDev,DistDev
M17 ,Post,day  ,AC     ,0.347653151,29.15476036
M17 ,Post,day  ,AC     ,0.348448694,15
M17 ,Pre,night,AC     ,0.35242641,28.28427124
F13 ,Pre,day  ,AC     ,0.354017496,5
M17 ,Pre,day  ,AC     ,0.356404126,14.14213562
F05 ,Pre,day  ,control,0.357995212,0
F05 ,Pre,day  ,control,0.357995212,0
F05 ,Pre,day  ,control,0.357995212,0
F05 ,Post,day  ,control,0.357995212,0
F05 ,Post,day  ,control,0.357995212,0
M28 ,Pre,night,AC     ,0.358790755,31.62277603
F13 ,Pre,day  ,AC     ,0.361177385,33.54101944
M17 ,Post,night,AC     ,0.363564014,50
M17 ,Post,day  ,AC     ,0.373906136,25
M17 ,Post,night,AC     ,0.377088308,0
F12 ,Post,day  ,control,0.378679395,10
F10 ,Post,day  ,control,0.380270481,20
F13 ,Pre,day  ,AC     ,0.385839283,5
M17 ,Post,night,AC     ,0.409705639,46.0977211
M17 ,Post,night,AC     ,0.415274441,39.05124664
F05 ,Pre,day  ,control,0.417661071,0
F05 ,Post,day  ,control,0.417661071,0
M21 ,Pre,day  ,control,0.42004776,0
M21 ,Pre,day  ,control,0.42004776,0
M21 ,Pre,day  ,control,0.42004776,0
M21 ,Post,day  ,control,0.42004776,0
F10 ,Pre,night,control,0.420843303,5
M17 ,Pre,day  ,AC     ,0.421638846,0
M17 ,Pre,night,AC     ,0.435958624,0
M17 ,Post,night,AC     ,0.439140797,35.35533905
M17 ,Post,night,AC     ,0.439140797,35.35533905
F12 ,Pre,day  ,control,0.441527426,5
F12 ,Pre,day  ,control,0.441527426,5
M21 ,Post,night,control,0.447891831,0
F13 ,Pre,day  ,AC     ,0.450278461,0
F13 ,Post,day  ,AC     ,0.450278461,0
F13 ,Post,day  ,AC     ,0.450278461,0
F13 ,Post,day  ,AC     ,0.450278461,0
F05 ,Post,night,control,0.45505172,0
M17 ,Post,day  ,AC     ,0.45743835,30
M17 ,Post,day  ,AC     ,0.45743835,30
M17 ,Post,day  ,AC     ,0.466984868,35.35533905
M17 ,Post,night,AC     ,0.466984868,0
F05 ,Post,night,control,0.468575954,0
M21 ,Pre,day  ,control,0.479713619,0
M28 ,Pre,night,AC     ,0.487669051,18.02775574
